layer_name,layer_index,num_activation_elements,selected_percentile,selected_alpha,selected_mse,p99_0_alpha,p99_0_mse,p99_5_alpha,p99_5_mse,p99_9_alpha,p99_9_mse,p99_95_alpha,p99_95_mse,p100_0_alpha,p100_0_mse,activation_qmin,activation_qmax,activation_zero_point,activation_scale,candidate_percentiles,candidate_alphas,candidate_mses
relu,0,67108864,99.95,1.468596338,0.0002607786737,0.7718404949,0.001154415659,0.9233040223,0.0006710468442,1.298569658,0.0002882110421,1.468596338,0.0002607786737,4.223554134,0.001495641656,0,15,0,0.09790642251,99.0;99.5;99.9;99.95;100.0,0.7718404949;0.9233040223;1.298569658;1.468596338;4.223554134,0.001154415659;0.0006710468442;0.0002882110421;0.0002607786737;0.001495641656
layer1.0.relu1,1,67108864,99.9,0.9606842211,0.0002233726846,0.5521097845,0.000697536103,0.6696236607,0.0004181036202,0.9606842211,0.0002233726846,1.090914329,0.0002276041778,3.203825235,0.00159280363,0,15,0,0.06404561474,99.0;99.5;99.9;99.95;100.0,0.5521097845;0.6696236607;0.9606842211;1.090914329;3.203825235,0.000697536103;0.0004181036202;0.0002233726846;0.0002276041778;0.00159280363
layer1.0.relu2,2,67108864,99.9,2.072884625,0.001047873753,1.054064777,0.003979709931,1.341677948,0.00227625086,2.072884625,0.001047873753,2.380306005,0.001068884972,6.332119942,0.005669436418,0,15,0,0.1381923083,99.0;99.5;99.9;99.95;100.0,1.054064777;1.341677948;2.072884625;2.380306005;6.332119942,0.003979709931;0.00227625086;0.001047873753;0.001068884972;0.005669436418
layer1.1.relu1,3,67108864,99.95,1.10808987,0.0001495470788,0.5146525347,0.000811760081,0.6543660164,0.0004261540016,0.9721862969,0.0001623526769,1.10808987,0.0001495470788,3.00297904,0.0007315972471,0,15,0,0.073872658,99.0;99.5;99.9;99.95;100.0,0.5146525347;0.6543660164;0.9721862969;1.10808987;3.00297904,0.000811760081;0.0004261540016;0.0001623526769;0.0001495470788;0.0007315972471
layer1.1.relu2,4,67108864,99.9,1.346149572,0.000617512851,0.8035630494,0.001362120616,0.961560927,0.0008848811849,1.346149572,0.000617512851,1.524861159,0.0006673150929,6.033677578,0.008062968031,0,15,0,0.08974330481,99.0;99.5;99.9;99.95;100.0,0.8035630494;0.961560927;1.346149572;1.524861159;6.033677578,0.001362120616;0.0008848811849;0.000617512851;0.0006673150929;0.008062968031
layer2.0.relu1,5,33554432,99.9,0.6530025468,8.910198085e-05,0.3952361357,0.000275659404,0.4698675539,0.0001644821314,0.6530025468,8.910198085e-05,0.7338729408,9.115399735e-05,2.124204874,0.0006339991232,0,15,0,0.04353350312,99.0;99.5;99.9;99.95;100.0,0.3952361357;0.4698675539;0.6530025468;0.7338729408;2.124204874,0.000275659404;0.0001644821314;8.910198085e-05;9.115399735e-05;0.0006339991232
layer2.0.relu2,6,33554432,99.95,1.326059054,0.0003512431285,0.7111735511,0.0009897532873,0.8374478227,0.0006462551537,1.162013027,0.0003654522297,1.326059054,0.0003512431285,5.387556553,0.003776045516,0,15,0,0.08840393693,99.0;99.5;99.9;99.95;100.0,0.7111735511;0.8374478227;1.162013027;1.326059054;5.387556553,0.0009897532873;0.0006462551537;0.0003654522297;0.0003512431285;0.003776045516
layer2.1.relu1,7,33554432,99.95,0.6044647756,3.604928861e-05,0.2900352982,0.0002262236667,0.3621445116,0.0001203900611,0.5307498801,4.193334098e-05,0.6044647756,3.604928861e-05,1.985240579,0.0002512248757,0,15,0,0.0402976517,99.0;99.5;99.9;99.95;100.0,0.2900352982;0.3621445116;0.5307498801;0.6044647756;1.985240579,0.0002262236667;0.0001203900611;4.193334098e-05;3.604928861e-05;0.0002512248757
layer2.1.relu2,8,33554432,99.9,1.20370803,0.000371696311,0.7412320191,0.0009887971682,0.8743613395,0.0006281618262,1.20370803,0.000371696311,1.361914259,0.0003741027031,4.745520592,0.003159851534,0,15,0,0.08024720201,99.0;99.5;99.9;99.95;100.0,0.7412320191;0.8743613395;1.20370803;1.361914259;4.745520592,0.0009887971682;0.0006281618262;0.000371696311;0.0003741027031;0.003159851534
layer3.0.relu1,9,16777216,99.95,0.7311103193,7.864421059e-05,0.3894945756,0.0002838792861,0.4647502422,0.0001677762048,0.6484611195,8.187498315e-05,0.7311103193,7.864421059e-05,2.843792915,0.0008466071449,0,15,0,0.04874068796,99.0;99.5;99.9;99.95;100.0,0.3894945756;0.4647502422;0.6484611195;0.7311103193;2.843792915,0.0002838792861;0.0001677762048;8.187498315e-05;7.864421059e-05;0.0008466071449
layer3.0.relu2,10,16777216,99.95,0.8128754257,8.587503544e-05,0.4114064187,0.0003891056986,0.4986757457,0.0002275687875,0.7138295487,9.699739894e-05,0.8128754257,8.587503544e-05,2.721698284,0.000570773147,0,15,0,0.05419169504,99.0;99.5;99.9;99.95;100.0,0.4114064187;0.4986757457;0.7138295487;0.8128754257;2.721698284,0.0003891056986;0.0002275687875;9.699739894e-05;8.587503544e-05;0.000570773147
layer3.1.relu1,11,16777216,99.95,0.4319876038,2.235984357e-05,0.1850710645,0.0001398114691,0.236153359,8.157375851e-05,0.3683654006,2.874205529e-05,0.4319876038,2.235984357e-05,1.803640366,0.0001685025636,0,15,0,0.02879917358,99.0;99.5;99.9;99.95;100.0,0.1850710645;0.236153359;0.3683654006;0.4319876038;1.803640366,0.0001398114691;8.157375851e-05;2.874205529e-05;2.235984357e-05;0.0001685025636
layer3.1.relu2,12,16777216,99.95,1.009013737,0.0001963799004,0.4415900141,0.0007843173225,0.552301231,0.0005005225539,0.8534085885,0.0002278719912,1.009013737,0.0001963799004,4.669546127,0.001691866084,0,15,0,0.06726758248,99.0;99.5;99.9;99.95;100.0,0.4415900141;0.552301231;0.8534085885;1.009013737;4.669546127,0.0007843173225;0.0005005225539;0.0002278719912;0.0001963799004;0.001691866084
layer4.0.relu1,13,8388608,99.95,0.5161645387,4.944228931e-05,0.2054983789,0.0002214907145,0.2634335841,0.0001411650737,0.4294445591,5.881574907e-05,0.5161645387,4.944228931e-05,2.735458374,0.000575193204,0,15,0,0.03441096925,99.0;99.5;99.9;99.95;100.0,0.2054983789;0.2634335841;0.4294445591;0.5161645387;2.735458374,0.0002214907145;0.0001411650737;5.881574907e-05;4.944228931e-05;0.000575193204
layer4.0.relu2,14,8388608,99.95,1.173633194,0.000239924324,0.4885777968,0.001041427022,0.6195191753,0.0006441303412,0.9936361706,0.0002647568472,1.173633194,0.000239924324,4.247726917,0.001893271809,0,15,0,0.07824221292,99.0;99.5;99.9;99.95;100.0,0.4885777968;0.6195191753;0.9936361706;1.173633194;4.247726917,0.001041427022;0.0006441303412;0.0002647568472;0.000239924324;0.001893271809
layer4.1.relu1,15,8388608,99.95,0.3949026507,2.309427873e-05,0.1715751503,0.000113710681,0.2180220353,6.661613588e-05,0.3375525376,2.643183325e-05,0.3949026507,2.309427873e-05,1.286562443,0.0001432660501,0,15,0,0.02632684338,99.0;99.5;99.9;99.95;100.0,0.1715751503;0.2180220353;0.3375525376;0.3949026507;1.286562443,0.000113710681;6.661613588e-05;2.643183325e-05;2.309427873e-05;0.0001432660501
layer4.1.relu2,16,8388608,99.9,1.868868335,0.0009515058482,1.133070806,0.002297600498,1.344245884,0.001441952307,1.868868335,0.0009515058482,2.092473264,0.001029988518,5.230576038,0.005377137568,0,15,0,0.1245912223,99.0;99.5;99.9;99.95;100.0,1.133070806;1.344245884;1.868868335;2.092473264;5.230576038,0.002297600498;0.001441952307;0.0009515058482;0.001029988518;0.005377137568
